,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
94661,30-Sep-21,5:30:00,15,0,6,19,31,27,16,24,24,6,13,23,11,5,6,20,22,11,15,39,22,0,32,35,0,31,21,17,0,4,29,31
94671,30-Sep-21,5:40:00,21,3,0,15,28,22,23,28,31,13,10,5,10,1,0,26,32,5,6,40,25,0,16,42,0,28,11,22,0,3,25,38
94681,30-Sep-21,5:50:00,25,7,0,15,32,30,33,20,28,11,5,11,27,0,4,32,26,10,9,35,28,0,24,35,0,28,2,14,0,8,26,37
94691,30-Sep-21,6:00:00,14,0,0,12,31,33,23,36,23,10,5,9,12,0,11,27,29,19,9,23,12,3,24,22,0,25,22,6,0,2,29,33
94701,30-Sep-21,6:10:00,17,1,0,0,32,33,26,46,34,17,6,8,18,2,6,27,31,10,26,16,9,0,23,38,0,35,2,10,0,4,30,29
94711,30-Sep-21,6:20:00,19,4,0,12,36,29,32,28,20,26,14,15,20,5,3,57,27,16,4,13,31,2,25,39,0,37,8,11,6,1,28,34
94721,30-Sep-21,6:30:00,16,3,0,14,35,20,37,31,32,10,11,17,11,0,5,45,29,10,17,6,28,5,23,42,0,29,14,15,0,0,30,41
94731,30-Sep-21,6:40:00,24,9,0,16,32,22,16,39,29,14,26,5,9,4,2,36,25,6,9,15,33,1,25,35,0,35,5,9,0,4,32,35
94741,30-Sep-21,6:50:00,19,9,0,0,44,39,30,30,29,11,15,13,7,0,1,31,25,10,3,10,28,1,24,32,0,32,11,12,0,2,41,30
94751,30-Sep-21,7:00:00,20,9,1,20,30,9,15,34,23,6,9,15,15,0,4,35,27,22,13,0,27,3,22,31,0,34,27,14,2,12,30,31
94761,30-Sep-21,7:10:00,35,4,0,27,37,0,21,33,25,5,23,14,9,5,3,28,27,5,8,2,16,0,28,34,0,26,11,11,5,1,31,34
94771,30-Sep-21,7:20:00,35,3,0,17,37,6,33,32,23,5,11,15,14,0,4,33,27,11,10,13,13,1,22,27,0,33,14,20,0,0,32,44
94781,30-Sep-21,7:30:00,59,3,0,11,34,20,24,35,22,8,26,10,6,0,6,31,17,24,0,0,22,5,28,33,0,38,30,12,2,5,21,23
94791,30-Sep-21,7:40:00,43,0,0,28,34,32,24,30,21,16,19,11,11,14,9,28,21,22,0,20,25,13,31,34,4,33,30,2,4,14,22,29
94801,30-Sep-21,7:50:00,36,0,0,17,41,35,20,35,23,1,28,20,4,6,0,30,28,16,0,23,20,19,28,32,1,35,32,11,3,8,28,33
94811,30-Sep-21,8:00:00,42,3,0,12,32,26,14,41,22,14,22,15,9,3,10,32,34,21,2,20,10,18,18,31,0,19,15,9,11,5,30,32
94821,30-Sep-21,8:10:00,46,0,0,17,37,29,20,43,30,12,19,8,12,5,3,30,29,37,28,0,22,4,32,31,0,29,24,9,10,5,33,21
